Source,Target
valentine,Drawings and Prints
print,Drawings and Prints
photographically illustrated book,Photographs
book print ornament & architecture,Drawings and Prints
evening jumpsuit,Costume Institute
hanging scrolls,Asian Art
apron,Costume Institute
medal,Modern and Contemporary Art
photograph,Drawings and Prints
drawing,Drawings and Prints
kylix fragment,Greek and Roman Art
piece,Asian Art
figure,Asian Art
baseball card,Drawings and Prints
architectural ornament,Egyptian Art
vessel with lid,"Arts of Africa, Oceania, and the Americas"
bowl,Asian Art
jar label,Egyptian Art
print,Drawings and Prints
print,Drawings and Prints
painting,European Paintings
seated woman,Greek and Roman Art
print,Drawings and Prints
print,Drawings and Prints
hanging scroll,Asian Art
amphora,Greek and Roman Art
centavos,The American Wing
ensemble,The American Wing
print,Drawings and Prints
kylix fragments,Greek and Roman Art
print,Drawings and Prints
negative,Photographs
print,Drawings and Prints
garland,European Sculpture and Decorative Arts
book,Drawings and Prints
facsimile,Egyptian Art
print,Drawings and Prints
print,Drawings and Prints
mortar,European Sculpture and Decorative Arts
print,Drawings and Prints
photograph,Photographs
woodblock print,Asian Art
drawing,Drawings and Prints
kylix fragment,Greek and Roman Art
scarab,Egyptian Art
sarcophagus fragment,Egyptian Art
plate,The American Wing
drawing,Drawings and Prints
evening dress,Costume Institute
print,Drawings and Prints
pouch,Costume Institute
kylix fragment,Greek and Roman Art
valance,European Sculpture and Decorative Arts
baluster,European Sculpture and Decorative Arts
dish,Asian Art
knocker,The American Wing
teapot with cover,Asian Art
carte-de-visite,Photographs
scabbard slide,Asian Art
print,Drawings and Prints
throne fragment,Egyptian Art
belt,Costume Institute
print,Drawings and Prints
rug,Asian Art
left shoulder and arm defense,Arms and Armor
print,Drawings and Prints
print,Drawings and Prints
books,Photographs
menat fragment,Egyptian Art
intaglio ?,Greek and Roman Art
plaque inscribed nema'atre (amenemhat iii),Egyptian Art
piece,European Sculpture and Decorative Arts
print,Drawings and Prints
book,Drawings and Prints
print,Drawings and Prints
strainer spoon,European Sculpture and Decorative Arts
busk,Costume Institute
mosaic,Medieval Art
print,Drawings and Prints
drawing,Drawings and Prints
folding fan mounted as an album leaf,Asian Art
fragment,Islamic Art
folio,Asian Art
ink tablet,Asian Art
printed piece,The American Wing
print,Drawings and Prints
photograph,Photographs
print,Drawings and Prints
ostrakon,Medieval Art
baseball card,Drawings and Prints
key,European Sculpture and Decorative Arts
sword,Asian Art
candlestick,The American Wing
moccasins,"Arts of Africa, Oceania, and the Americas"
kylix fragment,Greek and Roman Art
cape,Costume Institute
photograph,Photographs
coffer,Robert Lehman Collection
photograph,Photographs
print,Drawings and Prints
cut paper,Drawings and Prints
drawing,Drawings and Prints
dish,Islamic Art
cup,European Sculpture and Decorative Arts
kylix fragment,Greek and Roman Art
medal,European Sculpture and Decorative Arts
secretary,European Sculpture and Decorative Arts
kylix fragment,Greek and Roman Art
illustrated book,Asian Art
print,Drawings and Prints
print,Drawings and Prints
earrings,Costume Institute
print,Drawings and Prints
ephemera,Drawings and Prints
tea caddy with cover,European Sculpture and Decorative Arts
windsor table,The American Wing
scarab,Egyptian Art
wheellock carbine,Arms and Armor
mastoid fragment?,Greek and Roman Art
drinking glass,Modern and Contemporary Art
trousers,Costume Institute
tea gown,Costume Institute
postcard,Photographs
book,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
pedestal,European Sculpture and Decorative Arts
carte-de-visite,Photographs
photograph,Photographs
figure,Asian Art
print,Drawings and Prints
print,Drawings and Prints
drawing,The American Wing
club,"Arts of Africa, Oceania, and the Americas"
mold,Egyptian Art
drawing,Drawings and Prints
head of a man wearing a wreath (herakles?),Greek and Roman Art
photograph,Photographs
drawing,The American Wing
box,Asian Art
vase fragment,Greek and Roman Art
sash,"Arts of Africa, Oceania, and the Americas"
baseball card,Drawings and Prints
print,Drawings and Prints
painting,European Paintings
jacket,Costume Institute
platter,The American Wing
photograph,Photographs
shorts,Costume Institute
print,Drawings and Prints
print,Drawings and Prints
photographs ornament & architecture,Drawings and Prints
print,Drawings and Prints
book,Drawings and Prints
purse,Costume Institute
drawing,Modern and Contemporary Art
textile fragment,Islamic Art
negative,Photographs
fragment,European Sculpture and Decorative Arts
photograph,Drawings and Prints
print,Drawings and Prints
liqueur bottle cooler,European Sculpture and Decorative Arts
print collection ornament & architecture,Drawings and Prints
head of a woman,Greek and Roman Art
print,Drawings and Prints
print,Drawings and Prints
headstall,Arms and Armor
blade,Greek and Roman Art
cover,European Sculpture and Decorative Arts
morning cap,Costume Institute
books prints ornament & architecture,Drawings and Prints
paddle,"Arts of Africa, Oceania, and the Americas"
print,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
piece,European Sculpture and Decorative Arts
double column,Medieval Art
book,Drawings and Prints
book,Drawings and Prints
photograph,Photographs
fragment,Greek and Roman Art
print,Drawings and Prints
jug,Greek and Roman Art
print,Drawings and Prints
drawing,Drawings and Prints
dress,Costume Institute
print,Drawings and Prints
print,Drawings and Prints
kylix fragment,Greek and Roman Art
print,Drawings and Prints
shoes,Costume Institute
collar,Costume Institute
casket,Islamic Art
intaglio,Greek and Roman Art
dish,Asian Art
ornament,Costume Institute
medal,The American Wing
print,Drawings and Prints
kylix fragment,Greek and Roman Art
baseball card,Drawings and Prints
tassels,European Sculpture and Decorative Arts
book,Drawings and Prints
ephemera,The American Wing
kylix fragment,Greek and Roman Art
pelike fragment,Greek and Roman Art
drawing,Drawings and Prints
ornament & architecture,Drawings and Prints
print,Drawings and Prints
fragment,Islamic Art
baseball card,Drawings and Prints
candelabrum,Greek and Roman Art
print,Asian Art
print,Drawings and Prints
kylix fragment,Greek and Roman Art
vase,The American Wing
ornament,"Arts of Africa, Oceania, and the Americas"
bowl,Asian Art
painting,European Paintings
skyphos fragment,Greek and Roman Art
print,Drawings and Prints
kylix fragments,Greek and Roman Art
salt,European Sculpture and Decorative Arts
knife handle (kozuka),Arms and Armor
architectural ornament,Islamic Art
cup,Asian Art
print,Drawings and Prints
console table,European Sculpture and Decorative Arts
print,Asian Art
evening shoes,Costume Institute
baseball card,Drawings and Prints
photograph,Drawings and Prints
print,Drawings and Prints
drawing,Drawings and Prints
fragment,Islamic Art
bowl,Asian Art
print,Modern and Contemporary Art
print,Asian Art
drawing,The American Wing
piece,Asian Art
ornament,Egyptian Art
polaroid,Photographs
ring,Medieval Art
rubbing,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
poster,Drawings and Prints
tonometer,Musical Instruments
shoe buckles,Costume Institute
book print ornament & architecture,Drawings and Prints
painting,Modern and Contemporary Art
photograph,Photographs
plate,The American Wing
souvenir spoon,European Sculpture and Decorative Arts
sword guard (tsuba),Arms and Armor
sealing,Egyptian Art
amulet,Egyptian Art
writing box and table,Asian Art
photograph,Photographs
collage,Photographs
dish,Asian Art
print,Drawings and Prints
drawing,Drawings and Prints
"scarab, maatkare, ostrich feathers, winged disk, neb-basket",Egyptian Art
notched back,Egyptian Art
print,Drawings and Prints
kylix fragment,Greek and Roman Art
drawing,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
book,Drawings and Prints
book,Drawings and Prints
print,Drawings and Prints
uniform accessory set,Costume Institute
pilaster panel,European Sculpture and Decorative Arts
drawing,The American Wing
quilt,The American Wing
tunic,"Arts of Africa, Oceania, and the Americas"
print,Drawings and Prints
book,Drawings and Prints
sampler,European Sculpture and Decorative Arts
vessel,"Arts of Africa, Oceania, and the Americas"
medallion,European Sculpture and Decorative Arts
bracelet,Costume Institute
print,Drawings and Prints
book,Drawings and Prints
print,Drawings and Prints
knife handle (kozuka),Arms and Armor
hurdy-gurdy,Musical Instruments
dress,Costume Institute
negative,Photographs
harness fitting,Asian Art
print,Drawings and Prints
print,Drawings and Prints
drawing,Drawings and Prints
drawing,Modern and Contemporary Art
amulet,Egyptian Art
brandy tumbler,The American Wing
token money,European Sculpture and Decorative Arts
buckle,Arms and Armor
neckpiece,Costume Institute
baseball card,Drawings and Prints
print,Drawings and Prints
painting,European Paintings
boxing,Drawings and Prints
button,Costume Institute
book,Drawings and Prints
flask,The American Wing
book,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
sugar tongs,European Sculpture and Decorative Arts
baseball,Drawings and Prints
print,Drawings and Prints
ensemble,Costume Institute
stockings,Costume Institute
fan,European Sculpture and Decorative Arts
photograph,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
books prints ornament & architecture,Drawings and Prints
book,Drawings and Prints
photomechanical print,Photographs
adze,"Arts of Africa, Oceania, and the Americas"
baseball card,Drawings and Prints
wedding dress,Costume Institute
print,Drawings and Prints
jar label,Egyptian Art
baseball card,Drawings and Prints
piece,European Sculpture and Decorative Arts
print,Drawings and Prints
drawing,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
cylinder seal,Ancient Near Eastern Art
handscroll,Asian Art
print,Drawings and Prints
fragment,Arms and Armor
print,Drawings and Prints
dress,Costume Institute
intaglio,Greek and Roman Art
part of an altarpiece,European Paintings
stamp seal,Ancient Near Eastern Art
photograph,Photographs
water dropper,Asian Art
print,Drawings and Prints
spindle,"Arts of Africa, Oceania, and the Americas"
oinochoe fragment?,Greek and Roman Art
print,Modern and Contemporary Art
coffeepot,The American Wing
jar,Egyptian Art
books,Photographs
cylinder seal,Egyptian Art
photograph,Drawings and Prints
mold,Egyptian Art
snuffbox,Robert Lehman Collection
print,Drawings and Prints
drawing,Modern and Contemporary Art
books prints ornament & architecture,Drawings and Prints
tusk,"Arts of Africa, Oceania, and the Americas"
ewer,European Sculpture and Decorative Arts
vase fragment,Egyptian Art
beachwear,Costume Institute
print,Drawings and Prints
textile fragment,Islamic Art
drawing,Drawings and Prints
drawing,Drawings and Prints
pendant in the form of a vase,Greek and Roman Art
negative,Photographs
book,Drawings and Prints
costume ornament,"Arts of Africa, Oceania, and the Americas"
sherd,Ancient Near Eastern Art
belt plate,Medieval Art
fragment,European Sculpture and Decorative Arts
ensemble,Costume Institute
bracelet,Greek and Roman Art
side chair,The American Wing
book,Drawings and Prints
trade card,Drawings and Prints
print,Drawings and Prints
hanging scroll,Asian Art
print,Drawings and Prints
coin,Islamic Art
evening slippers,Costume Institute
print,Drawings and Prints
trade card,Drawings and Prints
print,Drawings and Prints
watercolor,The American Wing
print,Asian Art
spear,Arms and Armor
photomechanical print,Photographs
medallion,European Sculpture and Decorative Arts
hanging,European Sculpture and Decorative Arts
print,Drawings and Prints
album print ornament & architecture,Drawings and Prints
drawing,Drawings and Prints
stockings,Costume Institute
print,Drawings and Prints
offering tray,Egyptian Art
print,Drawings and Prints
print ornament & architecture,Drawings and Prints
textile fragment,Islamic Art
netsuke,Asian Art
bow tie,Costume Institute
partisan,Arms and Armor
fragment,Islamic Art
badge or harness pendant,Arms and Armor
print,Drawings and Prints
poster,Drawings and Prints
basin or bowl,European Sculpture and Decorative Arts
bodice,Costume Institute
print,Drawings and Prints
kylix fragment,Greek and Roman Art
print,Drawings and Prints
photograph,Drawings and Prints
vase fragment,Egyptian Art
pendant,"Arts of Africa, Oceania, and the Americas"
hanging scroll,Asian Art
book,Drawings and Prints
album,Drawings and Prints
print,Drawings and Prints
book,Drawings and Prints
bead,Greek and Roman Art
staff,"Arts of Africa, Oceania, and the Americas"
juglet,Greek and Roman Art
book,Drawings and Prints
chasuble front,Robert Lehman Collection
print,Drawings and Prints
earring,Medieval Art
watch cock,European Sculpture and Decorative Arts
negative,Photographs
jar,Ancient Near Eastern Art
mantle,"Arts of Africa, Oceania, and the Americas"
jar label,Egyptian Art
vase,European Sculpture and Decorative Arts
cameo medallion,European Sculpture and Decorative Arts
jar label,Egyptian Art
photograph,Photographs
print ornament & architecture,Drawings and Prints
medal,European Sculpture and Decorative Arts
piece,Asian Art
photograph,Drawings and Prints
fragment,Islamic Art
bust,Egyptian Art
cup,Ancient Near Eastern Art
book,Drawings and Prints
shard,Asian Art
fan,Costume Institute
piece,Asian Art
body ornament,Asian Art
length,European Sculpture and Decorative Arts
bottle with stopper,European Sculpture and Decorative Arts
print,Drawings and Prints
lamp,The American Wing
piece,European Sculpture and Decorative Arts
spoon,European Sculpture and Decorative Arts
print,Asian Art
suit,Costume Institute
head,Greek and Roman Art
drawing,The American Wing
print,Drawings and Prints
photograph,Photographs
print,Drawings and Prints
dish,Asian Art
print,Drawings and Prints
photograph,Drawings and Prints
jug,Islamic Art
petticoat,Costume Institute
bell,Asian Art
drawing,Drawings and Prints
book,Drawings and Prints
wallpaper,Drawings and Prints
drawing,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
baseball card,Drawings and Prints
knife handle (kozuka),Arms and Armor
print,Drawings and Prints
stopped pipe,Musical Instruments
print poster,Drawings and Prints
box,The American Wing
piece,Asian Art
band,Islamic Art
plate,European Sculpture and Decorative Arts
dress,Costume Institute
hatpin,Costume Institute
drawing,Drawings and Prints
bathing suit,Costume Institute
panel,European Sculpture and Decorative Arts
amulet,Egyptian Art
print,Drawings and Prints
photograph,Drawings and Prints
amulet,Egyptian Art
book,Drawings and Prints
lappet,European Sculpture and Decorative Arts
print,Drawings and Prints
square,European Sculpture and Decorative Arts
baseball card,Drawings and Prints
plan,The American Wing
skyphos fragment,Greek and Roman Art
photograph,Drawings and Prints
bowl,"Arts of Africa, Oceania, and the Americas"
postcard,Photographs
print,Drawings and Prints
ensemble,Costume Institute
earring,Egyptian Art
print,Drawings and Prints
plate,The American Wing
book,Drawings and Prints
incense burner with cover,Asian Art
jar with cover,Asian Art
sampler,European Sculpture and Decorative Arts
print,Drawings and Prints
earrings,Ancient Near Eastern Art
mummy braces,Egyptian Art
baseball card,Drawings and Prints
print,Drawings and Prints
drawing,Modern and Contemporary Art
figurine,Asian Art
teapot,European Sculpture and Decorative Arts
drawing,Drawings and Prints
fan,Costume Institute
piece,European Sculpture and Decorative Arts
figure,"Arts of Africa, Oceania, and the Americas"
print,Drawings and Prints
sample,European Sculpture and Decorative Arts
print,Drawings and Prints
print,Drawings and Prints
oinochoe,Greek and Roman Art
stand,Islamic Art
print,Drawings and Prints
books prints ornament & architecture,Drawings and Prints
vessel,"Arts of Africa, Oceania, and the Americas"
folio from an illustrated manuscript,Islamic Art
sample,European Sculpture and Decorative Arts
negative,Photographs
carte-de-visite,Photographs
drawing,Drawings and Prints
drawing,Drawings and Prints
miniature spinning bowl,Egyptian Art
papyrus,Egyptian Art
button or bead,Islamic Art
dress,Costume Institute
panel,European Sculpture and Decorative Arts
print,Drawings and Prints
trozella,Greek and Roman Art
model vase,Egyptian Art
coat,Costume Institute
badge or harness pendant,Arms and Armor
standard (sashimono),Arms and Armor
print,Drawings and Prints
galloon,European Sculpture and Decorative Arts
print,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
textile sample,Modern and Contemporary Art
album,Drawings and Prints
print,Drawings and Prints
manuscript,Drawings and Prints
print,Drawings and Prints
ensemble,Islamic Art
archer's ring,Arms and Armor
krater fragment?,Greek and Roman Art
earrings,Costume Institute
print,Drawings and Prints
scarab,Egyptian Art
bust,Asian Art
photograph,Photographs
vase with lid,Greek and Roman Art
kylix fragments,Greek and Roman Art
print,Drawings and Prints
axe head,Arms and Armor
cylinder seal,Ancient Near Eastern Art
figure,Asian Art
cylinder seal,Ancient Near Eastern Art
print,Drawings and Prints
photographs,Photographs
medal,The American Wing
print,Drawings and Prints
evening dress,Costume Institute
print,Drawings and Prints
print,Drawings and Prints
photograph,Photographs
print,Drawings and Prints
kylix fragment,Greek and Roman Art
pot hook,The Cloisters
ring fragment,Egyptian Art
print,Drawings and Prints
folding fan mounted as an album leaf,Asian Art
print,Drawings and Prints
dress,Costume Institute
brooch,Medieval Art
fragment,Islamic Art
print,Drawings and Prints
cup and saucer,European Sculpture and Decorative Arts
textile fragment,Islamic Art
hanging,European Sculpture and Decorative Arts
book,Drawings and Prints
photograph,Photographs
photograph,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
book,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
book,Drawings and Prints
robe,Asian Art
textile length,Modern and Contemporary Art
print,Drawings and Prints
book,Drawings and Prints
"book
ornament & architecture
prints",Drawings and Prints
textile sample,Modern and Contemporary Art
print,Drawings and Prints
apron,Costume Institute
kohl jar,Egyptian Art
drawing ornament & architecture,Drawings and Prints
print,Drawings and Prints
kylix fragment,Greek and Roman Art
belt buckle,Arms and Armor
sword-hilt collar and pommel (fuchigashira),Arms and Armor
relief fragment,Egyptian Art
dinner suit,Costume Institute
cylinder seal,Ancient Near Eastern Art
fibula,Islamic Art
pate defense,Arms and Armor
relief fragment,Egyptian Art
fragment,European Sculpture and Decorative Arts
model,Egyptian Art
photograph,Photographs
dagger (katar),Arms and Armor
print,Drawings and Prints
relief,The Cloisters
print,Drawings and Prints
print,Drawings and Prints
photograph,Photographs
papyrus,Egyptian Art
bow,Musical Instruments
painting,European Paintings
photograph,Photographs
piece from a kosode,Asian Art
dress,Costume Institute
photograph,Photographs
oinochoe,Greek and Roman Art
print,Drawings and Prints
book,Drawings and Prints
spoon,The American Wing
print,Drawings and Prints
negative,Photographs
print,Drawings and Prints
plate,Modern and Contemporary Art
helmet with horses,Greek and Roman Art
fragment,Medieval Art
bark painting,"Arts of Africa, Oceania, and the Americas"
scramasax,Arms and Armor
print,Drawings and Prints
pin,Modern and Contemporary Art
print,Drawings and Prints
vase fragment,Greek and Roman Art
sword guard (tsuba),Arms and Armor
bowl,Asian Art
print,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
photograph,Drawings and Prints
book prints ornament & architecture,Drawings and Prints
plaque,European Sculpture and Decorative Arts
print,Drawings and Prints
textile fragment,Islamic Art
fan,Asian Art
wedding ensemble,Costume Institute
needle sheath,European Sculpture and Decorative Arts
sealing,Ancient Near Eastern Art
drawing,The American Wing
sample,European Sculpture and Decorative Arts
print,Drawings and Prints
percussion revolver,Arms and Armor
drawing,The American Wing
painting,The American Wing
drawing,The American Wing
toilet jar with cover,European Sculpture and Decorative Arts
negative,Photographs
photograph,Drawings and Prints
drawing,Drawings and Prints
photograph,Photographs
fragment,Egyptian Art
arrow point,Egyptian Art
book,Drawings and Prints
ornament & architecture,Drawings and Prints
statuette of a woman votary,Greek and Roman Art
upholstery panel,European Sculpture and Decorative Arts
border,European Sculpture and Decorative Arts
diptych,Medieval Art
relief fragment,Egyptian Art
belt buckle,Costume Institute
shoulder defense,Arms and Armor
print,Drawings and Prints
print,Drawings and Prints
lid,Greek and Roman Art
print,Drawings and Prints
ring,Egyptian Art
ensemble,Costume Institute
belt,"Arts of Africa, Oceania, and the Americas"
photograph,Photographs
print,Drawings and Prints
album print ornament & architecture,Drawings and Prints
sword-hilt collar and pommel (fuchigashira),Arms and Armor
print,Drawings and Prints
ephemera,Drawings and Prints
textile fragment,Islamic Art
drawers,Costume Institute
statue,Egyptian Art
print,Drawings and Prints
carte-de-visite,Photographs
earring with pendant,Greek and Roman Art
textile sample,Modern and Contemporary Art
fragment,European Sculpture and Decorative Arts
kylix fragment,Greek and Roman Art
cut paper,Drawings and Prints
drawing,Drawings and Prints
baseball card,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
earrings,Costume Institute
photograph,Drawings and Prints
candlestick,Robert Lehman Collection
print,Drawings and Prints
books prints ornament & architecture,Drawings and Prints
print poster,Drawings and Prints
drawing,Modern and Contemporary Art
print,Drawings and Prints
carte-de-visite,Photographs
baseball card,Drawings and Prints
photograph,Photographs
nikko sho,Musical Instruments
negative,Photographs
bell,Greek and Roman Art
suit,Costume Institute
sherd,Ancient Near Eastern Art
print,Drawings and Prints
drawing,Drawings and Prints
photograph,Photographs
drawing,Drawings and Prints
ornament & architecture,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
kantharos,Greek and Roman Art
dagger (katar),Arms and Armor
kylix fragment,Greek and Roman Art
book,Photographs
print,Drawings and Prints
photograph,Photographs
album drawing ornament & architecture,Drawings and Prints
print,Modern and Contemporary Art
spindle,Medieval Art
book,Drawings and Prints
dish,Islamic Art
carpet,Islamic Art
seal,Greek and Roman Art
scarab,Egyptian Art
postcard,Photographs
book,Drawings and Prints
ornament & architecture,Drawings and Prints
photograph,Photographs
table screen,Asian Art
painting,European Paintings
bowl,"Arts of Africa, Oceania, and the Americas"
print,Drawings and Prints
postcard,Photographs
print,Drawings and Prints
drawing ornament & architecture,Drawings and Prints
dress,Costume Institute
fragment,Islamic Art
mastoid or kyathos fragment,Greek and Roman Art
textile sample,Modern and Contemporary Art
photograph,Photographs
kylix fragment,Greek and Roman Art
statuette of a diskos-thrower,Greek and Roman Art
vest,Costume Institute
print,Drawings and Prints
photograph,Photographs
necktie,Costume Institute
bracteate,Medieval Art
shoe trees,Costume Institute
evening dress,Costume Institute
ensemble,Costume Institute
drawing,Modern and Contemporary Art
print,Drawings and Prints
textile fragment,Islamic Art
print,Drawings and Prints
drawing,Drawings and Prints
drawing,Drawings and Prints
fragment,Islamic Art
statue,Egyptian Art
bell,Musical Instruments
kylix fragment,Greek and Roman Art
print,Drawings and Prints
photograph,Photographs
print,Drawings and Prints
photograph,Photographs
print,Drawings and Prints
book,Drawings and Prints
print,Drawings and Prints
tile,Egyptian Art
needles,Egyptian Art
print,Drawings and Prints
column-krater fragment,Greek and Roman Art
print,Drawings and Prints
drawing,Drawings and Prints
print,Drawings and Prints
book,Drawings and Prints
statuette group,European Sculpture and Decorative Arts
drawing,Drawings and Prints
bottle,"Arts of Africa, Oceania, and the Americas"
inlay,Egyptian Art
scarab,Egyptian Art
drawing,Drawings and Prints
mold,Egyptian Art
vest,Costume Institute
piece,European Sculpture and Decorative Arts
stamp seal,Ancient Near Eastern Art
coverlet,The American Wing
cordial glass,European Sculpture and Decorative Arts
print,Drawings and Prints
photograph,Drawings and Prints
woodblock print,Asian Art
piece,European Sculpture and Decorative Arts
box,The American Wing
sarcophagus fragment,Egyptian Art
print,Drawings and Prints
dress,Costume Institute
print,Drawings and Prints
phelonion,European Sculpture and Decorative Arts
book,Drawings and Prints
evening shoes,Costume Institute
scarab,Egyptian Art
print,Drawings and Prints
print,Drawings and Prints
watercolor of musician playing sheng,Musical Instruments
stereograph,Photographs
textile length,Modern and Contemporary Art
plaque,Modern and Contemporary Art
print,Drawings and Prints
scabbard chape (kojiri),Arms and Armor
hat,Costume Institute
photograph,Photographs
drawing,Drawings and Prints
piece,European Sculpture and Decorative Arts
kylix fragment,Greek and Roman Art
dress,Costume Institute
lappets and edging,European Sculpture and Decorative Arts
print,Drawings and Prints
fragment,Islamic Art
spoon,The American Wing
drawing,Drawings and Prints
drawing,Robert Lehman Collection
print,Drawings and Prints
print,Drawings and Prints
photograph,Photographs
cuirass,Arms and Armor
bowl,Islamic Art
photograph,Photographs
print,Drawings and Prints
print,Drawings and Prints
altar bowl,Asian Art
fragment,European Sculpture and Decorative Arts
baseball card,Drawings and Prints
book print ornament & architecture,Drawings and Prints
negative,Photographs
flounce,European Sculpture and Decorative Arts
print,Drawings and Prints
baseball card,Drawings and Prints
belt hook,Asian Art
evening dress,Costume Institute
print,Drawings and Prints
pair of knives (dha) with sheath,Arms and Armor
drawing,Drawings and Prints
psykter fragment?,Greek and Roman Art
evening dress,Costume Institute
hanging scroll,Asian Art
photograph,Photographs
fan,Costume Institute
print,Drawings and Prints
photograph,Drawings and Prints
insertion,European Sculpture and Decorative Arts
book,Drawings and Prints
panel,European Sculpture and Decorative Arts
medal,European Sculpture and Decorative Arts
pakhavaj,Musical Instruments
ensemble,Costume Institute
print,Drawings and Prints
statuette,European Sculpture and Decorative Arts
fan,European Sculpture and Decorative Arts
drawing,Modern and Contemporary Art
canopic jar,Egyptian Art
piece,Asian Art
linen,Egyptian Art
sampler,European Sculpture and Decorative Arts
scarab,Egyptian Art
"maatkare, lord of the two lands, ankhti,  red crowns",Egyptian Art
simple back,Egyptian Art
fragment of a bowl,Islamic Art
print,Drawings and Prints
photogram,Photographs
postcard,Photographs
folio from an illustrated manuscript,Islamic Art
kylix fragment,Greek and Roman Art
kylix fragment,Greek and Roman Art
photograph,Drawings and Prints
photograph,Photographs
print,Asian Art
print,Drawings and Prints
dress,Costume Institute
print,Drawings and Prints
print,Drawings and Prints
incense burner,Asian Art
vessel,Asian Art
sword,Arms and Armor
book,Drawings and Prints
sample,European Sculpture and Decorative Arts
kylix fragment,Greek and Roman Art
baseball,Drawings and Prints
print,Drawings and Prints
earrings,Costume Institute
drawing,Modern and Contemporary Art
book,Drawings and Prints
pottery rattle,Musical Instruments
photograph,Photographs
knife handle (kozuka),Arms and Armor
galloon,European Sculpture and Decorative Arts
flounce fragment,European Sculpture and Decorative Arts
baseball card,Drawings and Prints
photograph,Drawings and Prints
print,Drawings and Prints
bobbin,European Sculpture and Decorative Arts
piece,European Sculpture and Decorative Arts
woodblock print,Asian Art
earring,Islamic Art
photograph,Photographs
photograph,Drawings and Prints
relief,Ancient Near Eastern Art
jar,Asian Art
drawing,Drawings and Prints
print,Drawings and Prints
kylix fragments,Greek and Roman Art
seal,Egyptian Art
plaquette,European Sculpture and Decorative Arts
print,Drawings and Prints
key,European Sculpture and Decorative Arts
drawing,Drawings and Prints
mass bell,Musical Instruments
print,Drawings and Prints
cuneiform tablet,Ancient Near Eastern Art
print,Drawings and Prints
coin weight,Islamic Art
tassel,European Sculpture and Decorative Arts
plate,European Sculpture and Decorative Arts
panel,European Sculpture and Decorative Arts
drawing,Drawings and Prints
rattle,Musical Instruments
postcard,Photographs
figure,Asian Art
print,Drawings and Prints
print,Drawings and Prints
calyx-krater fragment,Greek and Roman Art
mortar,Islamic Art
book,Drawings and Prints
ornament & architecture,Drawings and Prints
book,Drawings and Prints
sketch for a ceiling painting,European Paintings
sword and scabbard,Arms and Armor
chandelier,The American Wing
print,Drawings and Prints
sample,European Sculpture and Decorative Arts
kylix fragment,Greek and Roman Art
temple decoration,Asian Art
photograph,Photographs
hat,Costume Institute
print,Drawings and Prints
collection ornament & architecture,Drawings and Prints
kero,"Arts of Africa, Oceania, and the Americas"
drawing,Modern and Contemporary Art
print,Drawings and Prints
dishes,European Sculpture and Decorative Arts
drawing,Drawings and Prints
photograph,Drawings and Prints
print,Drawings and Prints
negative,Photographs
crèche figure,European Sculpture and Decorative Arts
bag,Costume Institute
drawing,Drawings and Prints
painting,Modern and Contemporary Art
statue,Robert Lehman Collection
book,Drawings and Prints
beads,Egyptian Art
print,Drawings and Prints
armchair,European Sculpture and Decorative Arts
haegeum,Musical Instruments
disc (bi),Asian Art
drawing,Modern and Contemporary Art
print,Drawings and Prints
poster,Drawings and Prints
ewer,Asian Art
necklace,Asian Art
print,Drawings and Prints
photograph,Photographs
chisel,Asian Art
print,Drawings and Prints
painting,The American Wing
photograph,Photographs
baluster,European Sculpture and Decorative Arts
drawing,Drawings and Prints
helmet,Arms and Armor
border,European Sculpture and Decorative Arts
photomechanical print,Photographs
photograph,Photographs
kylix fragment,Greek and Roman Art
negative,Photographs
drawings,Drawings and Prints
ornament & architecture,Drawings and Prints
book,Drawings and Prints
negative,Photographs
album,Photographs
textile panel,Asian Art
ear stud (?),Egyptian Art
print,Drawings and Prints
period frame,The American Wing
book,Drawings and Prints
dress,Costume Institute
photograph,Photographs
basset horn in f,Musical Instruments
baseball card,Drawings and Prints
beaker,European Sculpture and Decorative Arts
relief,Egyptian Art
suit,Costume Institute
sculpture,Ancient Near Eastern Art
ensemble,Costume Institute
bed cover,European Sculpture and Decorative Arts
drawings,Drawings and Prints
ornament & architecture,Drawings and Prints
teapot,European Sculpture and Decorative Arts
scarab,Egyptian Art
print,Drawings and Prints
seal reproduction,Arms and Armor
collage,Modern and Contemporary Art
drawing mounted as a hanging scroll,Asian Art
stencil,Asian Art
jar label,Egyptian Art
drawing,Drawings and Prints
print,Drawings and Prints
